Date,Country,City,incidents
4/10/2020,South Korea,,Hyundai Kona EV caught on fire in South Korea while parked in an apartment building’s underground parking.
28/07/2019,South Korea,Gangneung,"Hyundai Kona Electric in Gangneung, Gangwon Province, South Korea caught fire while charging."
12/11/2019,United Kingdom,Chester,"2017 Tesla Model X in Chester, England burst into flames while charging. Destroying the Tesla Model X completely."
23/01/2021,NA,,Hyundai Kona Electric The fire mysteriously broke out at a Kona Electric being charged at a taxi company. The battery underneath the vehicle was identified as the ignition point.
26/09/2020,South Korea,,Hyundai Kona EV was connected to an electric vehicle charger in the parking lot of an apartment in South Korea when it caught on fire.
17/09/2019,Austria,,"Hyundai Kona Electric in Leonstein, Austria a battery fire reportedly occurred while driving."
7/08/2020,South Korea,,Hyundai Kona EV caught on fire while charging in South Korea.
16/02/2020,United States,,Porsche Taycan in Florida burned while parked in a residential garage.
29/05/2020,South Korea,,Hyundai Kona EV which after full charge at the electric charging station in Korea caught on fire causing 29 million won of property damage once fully extinguished.
17/10/2020,South Korea,,Hyundai Kona EV electric vehicle caught at the electric vehicle rapid charging site in South Korea.
1/05/2021,NA,,Chevy Bolt burst into flames while parked in the home’s garage starting from the backseat.
13/05/2019,China,Hong Kong,"Tesla Model S, in Hong Kong, caught on fire while parked."
16/06/2018,United States,Los Angeles,Tesla Model S was alerted by pedestrians on a Los Angeles street that smoke was coming from the vehicle. The driver pulled over and exited the vehicle and flames started shooting out from under it.
26/07/2019,Canada,Montreal,"Hyundai Kona Electric was parked unplugged in a residential garage in Montreal, Canada. A fire began triggering an explosion."
10/08/2019,Russia,Moscow,"Tesla Model 3 collided with a truck on a high-speed road in Moscow, Russia, engulfing the Tesla Model 3 in flames."
8/02/2019,United States,Pittsburgh,"In Pittsburgh, Pennsylvania, A Tesla Model S caught on fire in a garage. Two months later, it caught on fire again."
19/01/2021,China,Shanghai,"Tesla Model 3 exploded in an underground residential parking garage in Shanghai on Tuesday, Chinese media reported."
21/04/2019,China,Shanghai,"Tesla Model S exploded in an underground garage in Shanghai, China. Damaging five surrounding cars."
16/02/2014,Canada,Toronto,"In Toronto, Canada a Model S was parked in a garage when it caught on fire. The Tesla Model S was not plugged in or charging."
